単語    出現回数
勝手	12
頭	12
盗む	12
そ	12
皆殺し	12
バレる	12
黙る	12
集会	12
隠す	12
祈る	12
攻略	12
ギャング	12
起こす	12
速やか	12
起きる	12
射殺	12
とか	12
恐怖	12
降りる	12
課長	12
戦術	12
コーナー	12
忘れる	12
運び	12
教祖	12
量	12
僕	12
十分	12
ネット	12
オレ	12
警告	12
バーン	12
エッジ	12
困る	12
撤退	12
発令	12
一体	12
正体	12
迎賓館	12
書く	12
さあ	12
ねぇ	12
ぎゃあ	12
次長	12
手段	11
うまい	11
地区	11
公園	11
通報	11
追う	11
邪魔	11
廃墟	11
消す	11
厳重	11
ついで	11
最近	11
居場所	11
耐える	11
複数	11
演出	11
構う	11
配置	11
少数	11
進める	11
本当	11
再び	11
探る	11
奪還	11
エレベーター	11
脱走	11
何者	11
新た	11
薬	11
所属	11
住民	11
無	11
コンビナート	11
周囲	11
ちる	11
厄介	11
積む	11
現地	11
応戦	11
女性	11
待てる	11
移る	11
探索	11
壊す	11
やっと	11
せい	11
シリーズ	11
近い	11
スカイ	11
はい	11
おのれ	11
くう	11
判断	10
作動	10
以下	10
器	10
説明	10
消える	10
約	10
横	10
寝る	10
配備	10
抜く	10
オフィス	10
っぽい	10
腕	10
帰還	10
最初	10
直後	10
山賊	10
極秘	10
企業	10
振興	10
判る	10
資材	10
崩壊	10
突然	10
落ちる	10
報復	10
シャツ	10
逮捕	10
今夜	10
ど	10
殺る	10
サングラス	10
ばれる	10
乗る	10
訪れる	10
健闘	10
ミサイル	10
地元	10
あたる	10
欲しい	10
機能	10
巻き込む	10
ジョン	10
さっさと	10
本隊	10
のみ	10
集結	10
君達	10
一つ	10
傭兵	10
市長	10
化学	10
青	10
機密	10
遺産	10
使える	10
え	10
普通	10
出動	10
専用	10
もちろん	10
異常	10
何で	10
どうぞ	10
トンネル	10
つまり	10
機械	10
まったく	10
厳しい	10
座標	10
拷問	10
捨てる	10
そちら	10
そろそろ	10
よこす	10
下手	10
庫	10
吾郎	10
うわ	10
許可	10
指令	10
撃てる	10
辿る	9
多少	9
配電	9
事実	9
遂行	9
訓練	9
射撃	9
玄関	9
新しい	9
出現	9
秘密	9
右	9
楽しむ	9
登場	9
大きい	9
ダミー	9
モード	9
体制	9
代わり	9
噂	9
衝撃	9
感知	9
覚える	9
空き巣	9
大変	9
住宅	9
処分	9
辺り	9
所有	9
通じる	9
仕掛ける	9
輸送	9
友軍	9
止まる	9
繰り返す	9
銃声	9
駆除	9
監視	9
バカ	9
皆	9
心	9
ちゃう	9
国境	9
無駄	9
クリスマス	9
どうも	9
支部	9
多く	9
海	9
真実	9
ファン	9
少ない	9
払う	9
事故	9
立てる	9
罠	9
たり	9
だれ	9
全力	9
とも	9
たった	9
見つけ出す	9
時刻	9
店内	9
石油	9
待ち伏せ	9
操作	9
き	9
それでは	9
まあ	9
必ず	9
切れる	9
夢	9
最大	9
なくなる	9
プログラム	9
返り討ち	9
戦争	9
革命	9
どんな	9
責任	9
ゆっくり	9
市役所	9
開ける	9
木	9
ジェームズ	9
押収	9
戦艦	9
もうすぐ	9
女の子	9
放棄	9
鍵	9
偵察	9
痛い	9
戦場	9
立つ	9
接近	9
なさる	9
撤収	9
もっと	9
スカ	9
トロ	9
槽	9
弾道	9
まずい	9
離脱	8
そのまま	8
線	8
不	8
士	8
盤	8
予備	8
たどり着く	8
反対	8
なれる	8
電波	8
怪しい	8
えー	8
ダンボール	8
ブロック	8
展開	8
秘書	8
提供	8
念	8
コンピューター	8
走る	8
向かい	8
とともに	8
当時	8
接触	8
決める	8
過去	8
圏	8
かつて	8
構成	8
に対して	8
模様	8
信じる	8
初期	8
財団	8
上陸	8
同時に	8
男女	8
有名	8
しかも	8
受け取る	8
一応	8
休暇	8
此処	8
コントロール	8
誘導	8
銀行	8
間違い	8
パーティ	8
病院	8
トイレ	8
幸い	8
ドイツ	8
連合	8
塔	8
要請	8
大きな	8
撮影	8
集まる	8
残す	8
救う	8
団	8
サイボーグ	8
掴む	8
主	8
網	8
なかなか	8
機会	8
番号	8
け	8
脅威	8
周り	8
いただく	8
やら	8
急	8
全く	8
設計	8
首領	8
動	8
面白い	8
出口	8
緑	8
上官	8
長老	8
破る	8
休む	8
本	8
ほとんど	8
覚悟	8
キャラクター	8
要塞	8
路	8
みたい	8
交戦	8
早速	8
洗脳	8
ダメ	8
東京	8
貯蔵	8
返す	8
尋問	8
歳	8
成立	8
おりる	8
怪我	8
もん	8
正解	8
マイク	8
告ぐ	8
偉い	8
安心	8
なるほど	8
そっち	8
総員	8
敷地	7
本物	7
やって来る	7
通り抜ける	7
救い	7
合流	7
静か	7
製作	7
上げる	7
到達	7
エージェント	7
セリフ	7
優先	7
麻薬	7
難しい	7
砦	7
国軍	7
迎え撃つ	7
多分	7
ルーム	7
白い	7
乗り込む	7
同行	7
チャンス	7
認める	7
届ける	7
最上階	7
センサー	7
遺跡	7
妙	7
明らか	7
ソフト	7
貸し	7
手配	7
行方	7
男性	7
エリート	7
届	7
飲食	7
艦	7
向ける	7
